School ID,State,Subscription End Date,Expiring Dollars,Expiring Students,Subscription Status,Renewal Date
644043,Arkansas,1/31/2015,1440,240,Renewed,10/14/2014
651798,Oklahoma,1/31/2015,1440,240,Renewed,9/11/2014
646527,Arkansas,1/31/2015,1440,240,Renewed,4/27/2015
654156,Oklahoma,1/31/2015,1440,240,Renewed,12/17/2014
642903,Arkansas,1/31/2015,2100,350,Renewed,10/16/2014
646989,Arkansas,1/31/2015,3210,535,Renewed,12/3/2014
650919,Oklahoma,1/31/2015,2250,375,Renewed,1/28/2015
655848,Oklahoma,1/31/2015,1440,240,Renewed,11/25/2014
656409,Oklahoma,1/31/2015,1440,240,Renewed,11/13/2014
657342,Oklahoma,1/31/2015,1440,240,Renewed,2/4/2015
658806,Oklahoma,1/31/2015,1926,321,Renewed,6/14/2012
658821,Oklahoma,1/31/2015,2040,340,Renewed,6/14/2012
646959,Arkansas,1/31/2015,3900,650,Renewed,10/14/2014
656385,Oklahoma,1/31/2015,1440,240,Renewed,1/16/2015
658815,Oklahoma,1/31/2015,2508,418,Renewed,6/14/2012
658842,Oklahoma,1/31/2015,2886,481,Renewed,6/14/2012
657096,Oklahoma,1/31/2015,1440,240,Renewed,1/21/2015
662439,Oklahoma,1/31/2015,3000,500,Renewed,12/15/2014
663345,Oklahoma,1/31/2015,1440,240,Renewed,1/13/2015
658461,Oklahoma,1/31/2015,2400,400,Renewed,1/14/2015
661893,Oklahoma,1/31/2015,1800,300,Renewed,12/12/2014
664074,Oklahoma,1/31/2015,1440,240,Renewed,1/21/2015
662235,Oklahoma,1/31/2015,1440,240,Renewed,12/23/2014
664560,Oklahoma,1/31/2015,1440,240,Renewed,11/26/2014
664680,Oklahoma,1/31/2015,1440,240,Renewed,1/20/2015
674151,Texas,1/31/2015,1440,240,Renewed,10/14/2014
662244,Oklahoma,1/31/2015,1440,240,Renewed,12/23/2014
669285,Texas,1/31/2015,1440,240,Renewed,1/14/2015
674115,Texas,1/31/2015,2340,390,Renewed,11/21/2014
674205,Texas,1/31/2015,1560,260,Renewed,10/22/2014
675414,Texas,1/31/2015,1440,240,Renewed,12/15/2014
674283,Texas,1/31/2015,2700,450,Renewed,12/23/2014
675732,Texas,1/31/2015,2700,450,Not Renewed,
684435,Texas,1/31/2015,3240,540,Renewed,1/30/2015
690342,Texas,1/31/2015,2100,350,Renewed,11/24/2014
679671,Texas,1/31/2015,1920,320,Renewed,1/9/2015
687747,Texas,1/31/2015,1440,240,Renewed,1/6/2015
687780,Texas,1/31/2015,2400,400,Renewed,1/30/2015
690687,Texas,1/31/2015,1440,240,Renewed,12/18/2014
696339,Texas,1/31/2015,1620,270,Renewed,11/10/2014
703068,Texas,1/31/2015,1440,240,Renewed,10/10/2014
711180,Texas,1/31/2015,1926,321,Renewed,2/20/2015
711213,Texas,1/31/2015,1926,321,Renewed,2/20/2015
712065,Texas,1/31/2015,2100,350,Renewed,1/6/2015
712317,Texas,1/31/2015,1926,321,Renewed,2/20/2015
712341,Texas,1/31/2015,2106,351,Renewed,2/20/2015
714216,Texas,1/31/2015,1440,240,Renewed,10/27/2014
715485,Texas,1/31/2015,4458,743,Renewed,12/18/2014
711174,Texas,1/31/2015,1962,327,Renewed,2/20/2015
711192,Texas,1/31/2015,1926,321,Renewed,2/20/2015
712296,Texas,1/31/2015,1926,321,Renewed,2/20/2015
712332,Texas,1/31/2015,2058,343,Renewed,2/20/2015
712350,Texas,1/31/2015,6000,1000,Not Renewed,
709965,Texas,1/31/2015,1926,321,Renewed,2/20/2015
709998,Texas,1/31/2015,1926,321,Renewed,2/20/2015
716106,Texas,1/31/2015,4458,743,Renewed,12/18/2014
716127,Texas,1/31/2015,4458,743,Renewed,12/18/2014
716151,Texas,1/31/2015,4458,743,Renewed,12/18/2014
716163,Texas,1/31/2015,4458,743,Renewed,12/18/2014
709992,Texas,1/31/2015,1926,321,Renewed,2/20/2015
710010,Texas,1/31/2015,1926,321,Renewed,2/20/2015
716088,Texas,1/31/2015,4458,743,Renewed,12/18/2014
716109,Texas,1/31/2015,4458,743,Renewed,12/18/2014
716145,Texas,1/31/2015,4458,743,Renewed,12/18/2014
716160,Texas,1/31/2015,4458,743,Renewed,12/18/2014
720450,Texas,1/31/2015,2100,350,Renewed,6/16/2015
722814,Texas,1/31/2015,1440,240,Renewed,10/2/2014
724476,Texas,1/31/2015,1440,240,Renewed,10/29/2014
720072,Texas,1/31/2015,1440,240,Renewed,12/3/2014
729501,Texas,1/31/2015,1800,300,Renewed,10/30/2014
722268,Texas,1/31/2015,1440,240,Renewed,12/15/2014
724920,Texas,1/31/2015,1500,250,Renewed,1/8/2015
734814,Colorado,1/31/2015,1440,240,Renewed,1/9/2015
744882,Colorado,1/31/2015,1440,240,Renewed,11/11/2014
749343,Idaho,1/31/2015,1500,250,Renewed,2/18/2015
750264,Idaho,1/31/2015,2640,440,Renewed,1/12/2015
740679,Colorado,1/31/2015,1440,240,Renewed,10/28/2014
752715,Idaho,1/31/2015,1500,250,Renewed,2/17/2011
762219,Arizona,1/31/2015,2850,475,Renewed,11/24/2014
767103,Arizona,1/31/2015,1680,280,Not Renewed,
752709,Idaho,1/31/2015,1500,250,Renewed,2/17/2011
762714,Arizona,1/31/2015,4710,785,Renewed,1/21/2015
756696,Utah,1/31/2015,2400,400,Renewed,2/3/2015
764538,Arizona,1/31/2015,1698,283,Renewed,11/19/2014
763245,Arizona,1/31/2015,4500,750,Renewed,1/21/2015
774975,New Mexico,1/31/2015,2400,400,Renewed,3/30/2015
781485,Nevada,1/31/2015,4200,700,Renewed,2/6/2015
772650,Arizona,1/31/2015,1440,240,Renewed,1/12/2015
775452,New Mexico,1/31/2015,1440,240,Renewed,1/13/2015
782016,Nevada,1/31/2015,2370,395,Renewed,11/25/2013
780231,Nevada,1/31/2015,4440,740,Renewed,1/19/2015
780255,Nevada,1/31/2015,1740,290,Renewed,8/8/2014
780717,Nevada,1/31/2015,3000,500,Renewed,11/25/2014
781395,Nevada,1/31/2015,3000,500,Renewed,8/5/2014
793746,California,1/31/2015,1440,240,Renewed,4/14/2015
784539,California,1/31/2015,9960,1660,Renewed,3/20/2015
791889,California,1/31/2015,2340,390,Renewed,1/12/2015
792876,California,1/31/2015,2790,465,Renewed,11/17/2014
793209,California,1/31/2015,1440,240,Renewed,3/12/2015
791832,California,1/31/2015,2460,410,Renewed,11/11/2014
792567,California,1/31/2015,1650,275,Renewed,11/10/2014
794217,California,1/31/2015,2400,400,Renewed,10/21/2014
806097,California,1/31/2015,2250,375,Renewed,2/3/2015
806331,California,1/31/2015,3990,665,Renewed,2/3/2015
806466,California,1/31/2015,3360,560,Renewed,2/3/2015
