,Affluence_Indicator,Apple_Mac_Code,Avg_Household_Income,Avg_Sell_price,Days_group,Expiring_Dollars,Expiring_Students,ID,Lunch_Program_Eligible_Students,Metro_Code,PC_Code,Poverty_Level_Code,Renew_delay,Renewal_Date,Software_budget_per_head,State,Subscription_End_Date,Subscription_Status,Title_1_Code,Training_Budget_Per_head
93,2.0,ZZ,I,7.0,4.0,1680,240,828333,0.0,S,ZZ,ZZ,-14.0,2017-01-17 00:00:00,ZZ,California,2017-01-31,Renewed,ZZ,ZZ
95,3.0,G,M,7.0,4.0,2737,391,853566,87.0,R,E,C,-27.0,2017-01-04 00:00:00,E,California,2017-01-31,Renewed,B,D
96,4.0,D,H,7.0,4.0,4550,650,856464,527.0,S,E,D,-26.0,2017-01-05 00:00:00,Z,California,2017-01-31,Renewed,C,Z
98,4.0,H,K,7.0,4.0,3500,500,895131,261.0,U,C,C,-20.0,2017-01-11 00:00:00,E,Washington,2017-01-31,Renewed,B,D
99,3.0,G,N,7.0,4.0,3577,511,934875,110.0,ZZ,H,B,-1.0,2017-01-30 00:00:00,G,Alabama,2017-01-31,Renewed,A,E
100,1.0,D,E,7.0,3.0,1680,240,1112283,185.0,R,F,C,-48.0,2016-12-14 00:00:00,E,Arkansas,2017-01-31,Renewed,A,C
101,3.0,H,L,7.0,3.0,6300,900,1113783,937.0,S,H,C,-50.0,2016-12-12 00:00:00,D,California,2017-01-31,Renewed,B,A
102,4.0,A,J,7.0,3.0,1680,240,1116465,21.0,R,D,C,-78.0,2016-11-14 00:00:00,E,South Dakota,2017-01-31,Renewed,C,B
103,2.0,B,M,7.0,3.0,1680,240,1116849,62.0,R,E,C,-47.0,2016-12-15 00:00:00,C,Illinois,2017-01-31,Renewed,B,A
104,1.0,G,K,7.0,4.0,2100,300,1180554,260.0,R,H,B,-1.0,2017-01-30 00:00:00,G,Alabama,2017-01-31,Renewed,A,E
105,3.0,ZZ,L,7.0,3.0,1680,240,1191957,0.0,T,ZZ,ZZ,-89.0,2016-11-03 00:00:00,ZZ,Ohio,2017-01-31,Renewed,ZZ,ZZ
106,2.0,C,B,7.0,3.0,2800,400,2105382,297.0,R,H,D,-56.0,2016-12-06 00:00:00,G,Kentucky,2017-01-31,Renewed,D,D
107,1.0,K,H,7.0,3.0,1820,260,2107626,178.0,T,E,B,-85.0,2016-11-07 00:00:00,Z,Oklahoma,2017-01-31,Renewed,A,Z
108,2.0,K,I,7.0,4.0,1680,240,2107725,104.0,T,D,B,-14.0,2017-01-17 00:00:00,E,Oklahoma,2017-01-31,Renewed,B,C
109,1.0,A,H,7.0,2.0,1680,240,2111841,107.0,R,B,C,-99.0,2016-10-24 00:00:00,E,Oklahoma,2017-01-31,Renewed,B,C
110,4.0,D,Q,7.0,3.0,5285,755,2124546,40.0,S,H,A,-71.0,2016-11-21 00:00:00,E,Indiana,2017-01-31,Renewed,A,A
111,2.0,B,G,7.0,3.0,1680,240,2135880,0.0,R,B,C,-35.0,2016-12-27 00:00:00,E,Oregon,2017-01-31,Renewed,ZZ,C
112,5.0,K,H,7.0,5.0,1680,240,2139615,76.0,R,E,C,6.0,2017-02-06 00:00:00,E,Wisconsin,2017-01-31,Renewed,C,B
113,ZZ,ZZ,ZZ,7.0,3.0,1820,260,2213970,ZZ,ZZ,ZZ,ZZ,-35.0,2016-12-27 00:00:00,ZZ,Iowa,2017-01-31,Renewed,ZZ,ZZ
115,2.0,A,O,7.0,2.0,1680,240,2226498,6.0,S,C,C,-103.0,2016-10-20 00:00:00,E,California,2017-01-31,Renewed,B,C
116,3.0,B,M,7.0,5.0,1680,240,2228076,217.0,T,F,B,10.0,2017-02-10 00:00:00,G,Texas,2017-01-31,Renewed,A,E
117,3.0,A,A,7.0,4.0,5201,743,2986224,851.0,S,H,D,-13.0,2017-01-18 00:00:00,G,Texas,2017-01-31,Renewed,D,E
118,4.0,ZZ,P,7.0,2.0,1680,240,4057575,0.0,S,ZZ,ZZ,-105.0,2016-10-18 00:00:00,ZZ,California,2017-01-31,Renewed,ZZ,ZZ
119,ZZ,ZZ,ZZ,7.0,3.0,5250,750,4084236,ZZ,ZZ,ZZ,ZZ,-50.0,2016-12-12 00:00:00,ZZ,California,2017-01-31,Renewed,ZZ,ZZ
